,Nom,Né le
689,François De Mazières,22 mai 1960
690,Pascal Ménage,21 mai 1960
691,Didier Marie,19 mai 1960
692,Patrick Loiseau,8 mai 1960
693,Gilles Bourdouleix,15 avril 1960
694,Abdoulatifou Aly,12 avril 1960
695,Françoise Dumas,12 avril 1960
696,Philippe Berta,11 avril 1960
697,Graziella Melchior,6 avril 1960
698,Annie Le Houerou,31 mars 1960
699,Christian Paul,23 mars 1960
700,Marie-Hélène Amiable,14 mars 1960
701,Guy Hascoet,29 février 1960
702,Pascale Gruny,18 février 1960
703,Michel Hunault,14 février 1960
704,Patrice Calméjane,6 février 1960
705,Stéphane Le Foll,3 février 1960
706,Pascal Demarthe,29 janvier 1960
707,Jean-François Parigi,25 janvier 1960
708,Michel Vialay,6 janvier 1960
709,Dominique Tian,14 décembre 1959
710,Christian Jacob,4 décembre 1959
711,Pascal Bois,3 décembre 1959
712,Bruno Millienne,28 novembre 1959
713,François Lamy,31 octobre 1959
714,Dominique Baert,24 octobre 1959
715,Joël Giraud,14 octobre 1959
716,Bérengère Poletti,14 octobre 1959
717,Élie Aboud,12 octobre 1959
718,Valérie Fourneyron,4 octobre 1959
719,Josiane Corneloup,30 septembre 1959
720,Nicole Le Peih,28 septembre 1959
721,Gabriel Serville,27 septembre 1959
722,Jean-Jacques Urvoas,19 septembre 1959
723,Sophie Mette,13 septembre 1959
724,Sandrine Doucet,10 septembre 1959
725,Dominique Dord,1er septembre 1959
726,Yves Goasdoué,22 août 1959
727,Mohamed Laqhila,3 août 1959
728,Brigitte Liso,29 juillet 1959
729,Véronique Massonneau,17 juillet 1959
730,Kader Arif,3 juillet 1959
731,Françoise Olivier-Coupeau,3 juillet 1959
732,Sabine Thillaye,18 mai 1959
733,Renaud Muselier,6 mai 1959
734,Brigitte Kuster,12 avril 1959
735,Bruno Fuchs,7 avril 1959
736,Isabelle Vasseur,2 avril 1959
737,Mansour Kamardine,23 mars 1959
738,Viviane Le Dissez,22 mars 1959
739,Brigitte Bourguignon,21 mars 1959
740,Serge Grouard,19 mars 1959
741,Marisol Touraine,7 mars 1959
742,Maryvonne Briot,4 février 1959
743,Maurice Leroy,2 février 1959
744,Juliana Rimane,22 janvier 1959
745,Claudine Ledoux,10 janvier 1959
746,Éric Coquerel,30 décembre 1958
747,Pierre Morel-A-l'Huissier,21 décembre 1958
748,Jean-Luc Bleunven,20 décembre 1958
749,Jean-Marc Fournel,9 décembre 1958
750,Gaetan Gorce,2 décembre 1958
751,Dominique Le Mèner,12 novembre 1958
752,Hervé Mariton,5 novembre 1958
753,Dominique Voynet,4 novembre 1958
754,Michèle Victory,28 octobre 1958
755,Philippe Gomès,27 octobre 1958
756,Martine Pinville,23 octobre 1958
757,Louis Giscard d'Estaing,20 octobre 1958
758,Colette Capdevielle,14 octobre 1958
759,Béatrice Pavy,14 octobre 1958
760,Jean-Paul Lecoq,13 octobre 1958
761,Yves Foulon,10 octobre 1958
762,Bruno Bonnell,6 octobre 1958
763,Chantal Berthelot,12 septembre 1958
764,Jean-Luc Lagleize,9 septembre 1958
765,Yannick Favennec,12 août 1958
766,Thierry Mariani,8 août 1958
767,Georges Siffredi,28 juillet 1958
768,Jacques Marilossian,26 juillet 1958
769,Alain Ramadier,8 juillet 1958
770,Christophe Guilloteau,18 juin 1958
771,Jean-René Cazeneuve,9 juin 1958
772,Éric Alauzet,7 juin 1958
773,Bertrand Pancher,5 juin 1958
774,Jacques Cattin,4 juin 1958
775,Laurence Dumont,2 juin 1958
776,François Cornut-Gentille,22 mai 1958
777,Gilles Le Gendre,13 mai 1958
778,Francis Vercamer,10 mai 1958
779,Christophe Priou,2 mai 1958
780,Cyrille Isaac-Sibille,30 avril 1958
781,Jean-Louis Rousselin,19 avril 1958
782,Catherine Kamowski,8 avril 1958
783,Eric Besson,2 avril 1958
784,Annick Lepetit,31 mars 1958
785,Jean-Paul Dufrègne,28 mars 1958
786,Jacques Le Guen,8 mars 1958
787,Michel Liebgott,15 février 1958
788,Dominique Chauvel,15 février 1958
789,Frédéric Saint-Sernin,4 février 1958
790,Philippe Vigier,3 février 1958
791,Patrick Vignal,22 janvier 1958
792,Marie-Christine Dalloz,10 janvier 1958
793,Jeanine Dubié,3 janvier 1958
794,Thierry Mandon,30 décembre 1957
795,Emmanuel Hamelin,28 décembre 1957
796,Jean-Louis Bricout,27 décembre 1957
797,Marianne Dubois,17 décembre 1957
798,Pierre Cabaré,12 décembre 1957
799,Alain Calmette,30 novembre 1957
800,Marie-Anne Montchamp,1er novembre 1957
801,Paul Jeanneteau,14 octobre 1957
802,Gautier Audinot,6 octobre 1957
803,Bernard Carayon,1er octobre 1957
804,Pierre Bédier,30 septembre 1957
805,Denis Sommer,23 septembre 1957
806,Richard Lioger,18 septembre 1957
807,Pierre Moscovici,16 septembre 1957
808,Jean-Paul Calloud,14 septembre 1957
809,Martine Leguille-Balloy,6 septembre 1957
810,Claire Guion-Firmin,6 septembre 1957
811,Patrick Roy,30 août 1957
812,Régine Povéda,24 août 1957
813,Georges Tron,1er août 1957
814,Sophie Delong,17 juillet 1957
815,Philippe Nauche,15 juillet 1957
816,Jean-Luc Gouyon,7 juillet 1957
817,Alain Fabre-Pujol,27 juin 1957
818,Jean-Luc Laurent,23 juin 1957
819,Jérôme Lambert,7 juin 1957
820,Nadia Essayan,6 juin 1957
821,Paul Giacobbi,4 juin 1957
822,Jacqueline Dubois,28 mai 1957
823,Jacqueline Irles,24 mai 1957
824,Jean-François Jalkh,23 mai 1957
825,Jean-Claude Bouchet,2 mai 1957
826,Bruno Duvergé,3 avril 1957
827,Jean-Pierre Thomas,27 mars 1957
828,Michel Lauzzana,20 mars 1957
829,Henri Guaino,11 mars 1957
830,Francis Saint-Léger,22 février 1957
831,Daniel Picotin,16 février 1957
832,Jean-Yves Caullet,8 février 1957
833,Jean-Michel Fauvergue,31 janvier 1957
834,Alain Marc,29 janvier 1957
835,Bernard Perrut,24 janvier 1957
836,Fanny Dombre Coste,26 décembre 1956
837,Hubert Wulfranc,17 décembre 1956
838,Marc Le Fur,28 novembre 1956
839,François Deluga,18 novembre 1956
840,Frédérique Bredin,2 novembre 1956
841,Michel Grégoire,27 octobre 1956
842,Jean Dionis du Séjour,21 septembre 1956
843,Annie Vidal,17 septembre 1956
844,Pierre Morange,8 septembre 1956
845,Annie Genevard,7 septembre 1956
846,Didier Martin,20 août 1956
847,Marie-Noëlle Battistel,20 août 1956
848,Jean-François Eliaou,13 août 1956
849,Hervé Féron,3 août 1956
850,Guénhaël Huet,30 juillet 1956
851,André Vallini,15 juillet 1956
852,Gilbert Sauvan,15 juillet 1956
853,Patrick Bloche,4 juillet 1956
854,Frédérique Tuffnell,29 juin 1956
855,Colette Langlade,20 juin 1956
856,Joël Aviragnet,16 juin 1956
857,Florence Delaunay,12 juin 1956
858,Marguerite Lamour,12 juin 1956
859,Rémi Delatte,9 juin 1956
860,Dominique Paillé,28 mai 1956
861,Elisabeth Hubert,26 mai 1956
862,Frédéric Dutoit,26 mai 1956
863,Charles-Ange Ginesy,14 mai 1956
864,Dominique Lefebvre,7 mai 1956
865,Hélène Vainqueur-Christophe,6 mai 1956
866,Jean-Louis Gagnaire,29 avril 1956
867,Brigitte Allain,23 avril 1956
868,André Wojciechowski,17 avril 1956
869,François Brottes,31 mars 1956
870,Sophie Dion,25 mars 1956
871,Geneviève Darrieussecq,4 mars 1956
872,Jean Garraud,27 février 1956
873,Max Mathiasin,24 février 1956
874,Pascal Deguilhem,9 février 1956
875,Christian Eckert,8 février 1956
876,Jean-François Lamour,2 février 1956
877,Éric Woerth,29 janvier 1956
878,Philippe Vuilque,29 janvier 1956
879,Daniel Pennec,17 janvier 1956
880,Daniel Mach,4 décembre 1955
881,"Robert, Jean-Pierre, Marie Diat",20 novembre 1955
882,Marie-Hélène Aubert,16 novembre 1955
883,Jacques Grosperrin,17 octobre 1955
884,"Philippe, Calixte, Gérard Edmond-Mariette",15 octobre 1955
885,Françoise Descamps-Crosnier,13 octobre 1955
886,Luce Pane,28 septembre 1955
887,Philippe Pemezec,25 septembre 1955
888,Sophie Dessus,24 septembre 1955
889,Claudine Schmid,13 septembre 1955
890,Anne-Yvonne Le Dain,1er septembre 1955
891,Christine Hennion,23 août 1955
892,Daniel Labaronne,16 juillet 1955
893,Antoine Joly,16 juillet 1955
894,Philippe Bonnecarrère,12 juillet 1955
895,Dino Cinieri,9 juillet 1955
896,Christian Estrosi,1er juillet 1955
897,Laurent Kalinowski,28 juin 1955
898,Eric Raoult,19 juin 1955
899,Pierre Ribeaud,13 juin 1955
900,Sylvie Pichot,1er juin 1955
901,Philippe Langenieux-Villard,20 mai 1955
902,Pierre-Christophe Baguet,11 mai 1955
903,Philippe Noguès,7 mai 1955
904,Jean Lassalle,3 mai 1955
905,Vincent Bru,29 avril 1955
906,Laurent Vergès,23 avril 1955
907,Elisabeth Pochon,19 avril 1955
908,Monica Michel,16 avril 1955
909,Patrick Mennucci,8 avril 1955
910,Michel Bouvard,17 mars 1955
911,Chantal Guittet,12 mars 1955
912,Jean-Yves Bony,11 mars 1955
913,Julien Dray,5 mars 1955
914,Philippe Vitel,22 février 1955
915,Jacques Cresta,16 février 1955
916,François Cuillandre,5 février 1955
917,Laurence Vichnievsky,5 février 1955
918,Francis Falala,2 février 1955
919,Nicolas Sarkozy,28 janvier 1955
920,Evelyne Guilhem,21 janvier 1955
921,Jean-Yves Haby,5 janvier 1955
922,Lionnel Luca,19 décembre 1954
923,Élisabeth Toutut-Picard,17 décembre 1954
924,André Villiers,13 décembre 1954
925,Gérard Welzer,13 décembre 1954
926,Gilles Savary,6 décembre 1954
927,Jean-Claude Leclabart,4 décembre 1954
928,Dominique Richard,29 novembre 1954
929,Pierre Sirgue,18 novembre 1954
930,Renaud Gauquelin,7 novembre 1954
931,Annick Le Loch,4 novembre 1954
932,Jean-Michel Clément,31 octobre 1954
933,Georges Fenech,26 octobre 1954
934,Yves Blein,12 octobre 1954
935,Geneviève Fioraso,10 octobre 1954
936,Christian Bourquin,7 octobre 1954
937,Patricia Gallerneau,9 septembre 1954
938,Bernard Birsinger,1er septembre 1954
939,Étienne Blanc,29 août 1954
940,René-Paul Victoria,27 août 1954
941,Pierre Victoria,22 août 1954
942,François Hollande,12 août 1954
943,Yves Daniel,31 juillet 1954
944,Rudy Salles,30 juillet 1954
945,Marie-Claude Marchand,22 juillet 1954
946,Marie-Line Reynaud,17 juillet 1954
947,Yolaine De Courson,14 juillet 1954
948,Olivier Darrason,12 juillet 1954
949,Monique Rabin,2 juillet 1954
950,Patrick Weiten,1er juillet 1954
951,Alain Merly,15 juin 1954
952,Yannick Haury,12 juin 1954
953,Claude Greff,2 juin 1954
954,Charles De la Verpillière,31 mai 1954
955,Camille De Rocca Serra,21 mai 1954
956,Patrick Trémège,14 mai 1954
957,Dominique Juillot,9 mai 1954
958,Catherine Pen,9 mai 1954
959,Yvon Briant,5 mai 1954
960,Philippe Goujon,30 avril 1954
961,Jean-René Marsac,21 avril 1954
962,Jean-Paul Mattei,21 mars 1954
963,Xavier Pintat,15 mars 1954
964,Renaud Donnedieu de Vabres,13 mars 1954
965,Joël Goyheneix,10 mars 1954
966,François Fillon,4 mars 1954
967,Yvan Lachaud,4 mars 1954
968,Jacques Rebillard,24 février 1954
969,Geneviève Gosselin-Fleury,22 février 1954
970,Alain Ballay,19 février 1954
971,Didier Paris,14 février 1954
972,Jean-Louis Masson,5 février 1954
973,Catherine Nicolas,20 janvier 1954
974,Alain Joyandet,15 janvier 1954
975,Josy Poueyto,13 janvier 1954
976,François Loos,24 décembre 1953
977,Alain Veyret,16 décembre 1953
978,Monique Limon,5 décembre 1953
979,Bruno Joncour,25 novembre 1953
980,Philippe Martin,22 novembre 1953
981,Michel Sordi,9 novembre 1953
982,Béatrice Vernaudon,27 octobre 1953
983,Xavier Beck,24 octobre 1953
984,Bernard Reynès,18 octobre 1953
985,Bernard Deflesselles,16 octobre 1953
986,Serge Lepeltier,12 octobre 1953
987,Annette Chépy-Léger,4 octobre 1953
988,Jean-Michel Fourgous,30 septembre 1953
989,Jean-Luc Drapeau,26 septembre 1953
990,Martine Martinel,26 septembre 1953
991,Dominique Bousquet,23 septembre 1953
992,Ségolène Royal,22 septembre 1953
993,François Goulard,21 septembre 1953
994,Germinal Peiro,15 septembre 1953
995,Jean-Jacques Denis,10 septembre 1953
996,Jean Codognes,6 septembre 1953
997,Patrice François,6 septembre 1953
998,Claude De Ganay,5 septembre 1953
999,Bernard Gérard,29 août 1953
1000,François Bernardini,24 août 1953
1001,Kheira Bouziane-Laroussi,23 août 1953
1002,Marie-Lou Marcel,21 août 1953
1003,Françoise Hostalier,19 août 1953
1004,Françoise Branget Née Minello,8 août 1953
1005,Jean-Pierre Gorges,3 août 1953
1006,Marc-Philippe Daubresse,1er août 1953
1007,Arlette Grosskost,19 juillet 1953
1008,Jean-Charles Taugourdeau,17 juillet 1953
1009,Jean-Jacques Cottel,17 juillet 1953
1010,Jean de Gaulle,13 juin 1953
1011,Edith Gueugneau,7 juin 1953
1012,Jean-Pierre Fougerat,11 mai 1953
1013,Jean-Jacques Bridey,7 mai 1953
1014,Marie-Thérèse Le Roy,7 mai 1953
1015,"Michel, Jean, Eli Rossi",5 mai 1953
1016,Brigitte Barèges,1er mai 1953
1017,François Sauvadet,20 avril 1953
1018,Jacques Percereau,18 avril 1953
1019,Patricia Adam,15 avril 1953
1020,Patrick Beaudouin,7 avril 1953
1021,François Calvet,1er avril 1953
1022,Jacques Bascou,31 mars 1953
1023,Olivier Jardé,28 mars 1953
1024,Jacques Domergue,25 mars 1953
1025,Jean Gravier,21 mars 1953
1026,Maud Olivier,20 février 1953
1027,Michèle Rivasi,9 février 1953
1028,Serge Letchimy,13 janvier 1953
1029,Jean-Marie Le Guen,3 janvier 1953
1030,Philippe Douste-Blazy,1er janvier 1953
1031,Roland Garrigues,1er janvier 1953
1032,Martine David,19 décembre 1952
1033,Philippe Mathot,30 novembre 1952
1034,Patrice Carvalho,15 novembre 1952
1035,Jacques Richir,4 novembre 1952
1036,Jacques Savatier,23 octobre 1952
1037,Gilles Cocquempot,22 octobre 1952
1038,Marc Dolez,21 octobre 1952
1039,Jean-Pierre Decool,19 octobre 1952
1040,Gérard Dubrac,10 octobre 1952
1041,Martine Billard,7 octobre 1952
1042,Louis Cosyns,29 septembre 1952
1043,Joseph Rossignol,17 septembre 1952
1044,Jacques Lamblin,29 août 1952
1045,Jean Mallot,20 août 1952
1046,Catherine Picard,14 août 1952
1047,Dominique Robert,12 août 1952
1048,Claude Girard,5 août 1952
1049,Jean Launay,24 juillet 1952
1050,Françoise de Salvador,18 juillet 1952
1051,Bernard Roman,15 juillet 1952
1052,Dominique Bussereau,13 juillet 1952
1053,Michel Issindou,12 juillet 1952
1054,Fabien Thiémé,11 juillet 1952
1055,Nicole Ameline,4 juillet 1952
1056,Rémi Pauvros,1er juillet 1952
1057,Jérôme Cahuzac,19 juin 1952
1058,Gisèle Biémouret,16 juin 1952
1059,Didier Migaud,6 juin 1952
1060,Jean-Claude Leroy,3 juin 1952
1061,Michel Lesage,2 juin 1952
1062,Marie-Françoise Pérol-Dumont,26 mai 1952
1063,Didier Mathus,25 mai 1952
1064,Patrick Lemasle,18 mai 1952
1065,Marguerite Deprez-Audebert,17 mai 1952
1066,Claude Bodin,15 mai 1952
1067,Patrick Sève,14 mai 1952
1068,Gérard Menuel,7 mai 1952
1069,Bernard de Froment,5 mai 1952
1070,Jean-Paul Charié,25 avril 1952
1071,Jacques Alain Bénisti,10 avril 1952
1072,Michel Sapin,9 avril 1952
1073,Béatrice Marre,2 avril 1952
1074,Charles De Courson,2 avril 1952
1075,Gilbert Maurer,29 mars 1952
1076,René Leroux,23 mars 1952
1077,Yves Albarello,17 mars 1952
1078,Dominique Orliac,15 mars 1952
1079,Alain Bruneel,7 mars 1952
1080,Martine Lignières-Cassou,22 février 1952
1081,Jean-Pierre Cave,20 février 1952
1082,Jean-Pierre Le Coadic,17 février 1952
1083,Marcel Cabiddu,10 février 1952
1084,Gérard Cornu,6 février 1952
1085,Alain Ferry,3 février 1952
1086,Christiane Taubira-Delannon,2 février 1952
1087,Jacky Jaulneau,1er février 1952
1088,Dolores Roqué,29 janvier 1952
1089,Marie-Arlette Carlotti,21 janvier 1952
1090,Édouard Fritch,4 janvier 1952
1091,Jean-Luc Reitzer,29 décembre 1951
1092,Cécile Untermaier,28 décembre 1951
1093,Yanick Paternotte,24 décembre 1951
1094,Antoine Pouillieute,20 décembre 1951
1095,Nicole Dubré-Chirat,18 décembre 1951
1096,Robert Spieler,18 décembre 1951
1097,Philippe Houillon,15 décembre 1951
1098,Jean-Pierre Bouquet,27 novembre 1951
1099,Daniel Marsin,13 novembre 1951
1100,Roland Muzeau,5 novembre 1951
1101,Anny Poursinoff,30 octobre 1951
1102,Serge Didier,24 octobre 1951
1103,Nathalie Gautier,23 septembre 1951
1104,Henri Jibrayel,18 septembre 1951
1105,Alain Suguenot,17 septembre 1951
1106,Yves Simon,10 septembre 1951
1107,Jacques Valax,23 août 1951
1108,Victorin Lurel,20 août 1951
1109,Jean-Luc Mélenchon,19 août 1951
1110,Jean-Christophe Cambadélis,14 août 1951
1111,Jacques Moignard,8 août 1951
1112,Axel Poniatowski,3 août 1951
1113,Claude Bartolone,29 juillet 1951
1114,Anne-Marie Idrac,27 juillet 1951
1115,Marie-Hélène Fabre,27 juillet 1951
1116,Thierry Cornillet,23 juillet 1951
1117,Marie-Noëlle Lienemann,12 juillet 1951
1118,Danièle Hoffman-Rispal,22 juin 1951
1119,Jean-Marc Roubaud,18 juin 1951
1120,Patrick Labaune,13 juin 1951
1121,Paul Dhaille,12 juin 1951
1122,Frantz Taittinger,9 juin 1951
1123,Jean-Claude Viollet,9 juin 1951
1124,Dominique Nachury,1er juin 1951
1125,Olivier Dassault,1er juin 1951
1126,François Bayrou,25 mai 1951
1127,Léon Bertrand,11 mai 1951
1128,Céleste Lett,7 mai 1951
1129,Pierre Lellouche,3 mai 1951
1130,Marie-Jo Zimmermann,29 avril 1951
1131,Philippe Boënnec,21 avril 1951
1132,Françoise Briand,20 avril 1951
1133,Hervé Pellois,17 avril 1951
1134,Jean-Louis Borloo,7 avril 1951
1135,Marielle De Sarnez,27 mars 1951
1136,Alain Vidalies,17 mars 1951
1137,Yves Bur,16 mars 1951
1138,Monique Boulestin,13 mars 1951
1139,Francis Saint-Ellier,11 mars 1951
1140,Brigitte Le Brethon,8 mars 1951
1141,Michel Herbillon,6 mars 1951
1142,Jean-Louis Destans,3 mars 1951
1143,Bernard Leroy,24 février 1951
1144,Alain Rousset,16 février 1951
1145,Joëlle Ceccaldi-Raynaud,9 février 1951
1146,Christine Marin,9 février 1951
1147,Jean-Sébastien Vialatte,30 janvier 1951
1148,"Patrice, Olivier, Paul Debray",25 janvier 1951
1149,Jean-Louis Christ,24 janvier 1951
1150,Damien Alary,19 janvier 1951
1151,Catherine Trautmann,15 janvier 1951
1152,Philippe Plisson,12 janvier 1951
1153,Michel Barnier,9 janvier 1951
1154,Alain Gest,27 décembre 1950
1155,Thierry Carcenac,19 décembre 1950
1156,Armand Jung,13 décembre 1950
1157,Patrick Braouezec,11 décembre 1950
1158,Francis Hammel,11 décembre 1950
1159,Gisèle Stièvenard,11 décembre 1950
1160,Guy Drut,6 décembre 1950
1161,Marie-Louise Fort,3 décembre 1950
1162,Jeanny Marc,2 décembre 1950
1163,Gérard Sebaoun,28 novembre 1950
1164,Jean-Pierre Grand,18 novembre 1950
1165,Pierre Frogier,16 novembre 1950
1166,Dominique Le Sourd,15 novembre 1950
1167,Bernard Pousset,10 novembre 1950
1168,Franck Gilard,1er novembre 1950
1169,Christian Dupuy,24 octobre 1950
1170,Marie-Odile Bouillé,13 octobre 1950
1171,Jean-Marie Rolland,25 septembre 1950
1172,Jean-Yves Le Bouillonnec,15 septembre 1950
1173,Michel Buillard,9 septembre 1950
1174,Didier Boulaud,4 septembre 1950
1175,Jean-Pierre Abelin,3 septembre 1950
1176,Jean-Luc Poudroux,29 août 1950
1177,Huguette Bello,24 août 1950
1178,Martine Aubry,8 août 1950
1179,Jean-François Michel,30 juillet 1950
1180,Émilienne Poumirol,25 juillet 1950
1181,Robert Lecou,25 juillet 1950
1182,Jean-Louis Leonard,24 juillet 1950
1183,Robert Olive,16 juillet 1950
1184,Alfred Trassy-Paillogues,15 juillet 1950
1185,Robert Cabé,11 juillet 1950
1186,André Chassaigne,2 juillet 1950
1187,Jean-Marie Bockel,22 juin 1950
1188,Geneviève Colot,22 juin 1950
1189,Franck Thomas-Richard,19 juin 1950
1190,Jean-Pierre Bastiani,6 juin 1950
1191,Avi Assouly,5 juin 1950
1192,Yves Vandewalle,5 juin 1950
1193,Daphna Poznanski-Benhamou,3 juin 1950
1194,François-Xavier Villain,31 mai 1950
1195,Joaquim Pueyo,30 mai 1950
1196,Jean-Pierre Balligand,30 mai 1950
1197,Bertrand Delanoe,30 mai 1950
1198,Marie-Hélène des Esgaulx,26 mai 1950
1199,Jacques Delhy,19 mai 1950
1200,Jean-Pierre Pont,9 mai 1950
1201,Jean-Pierre Pont,9 mai 1950
1202,Jean-Louis Idiart,3 mai 1950
1203,Michel Fanget,3 mai 1950
1204,Dominique Raimbourg,28 avril 1950
1205,Yves Rome,25 avril 1950
1206,Marc Dumoulin,6 avril 1950
1207,Pierre Cohen,20 mars 1950
1208,Bernadette Païx Née Abribat,19 mars 1950
1209,Josette Manin,16 mars 1950
1210,Jean-Claude Thomas,16 mars 1950
1211,Claude Malhuret,8 mars 1950
1212,Patrick Leroy,26 février 1950
1213,Anne-Marie Couderc,13 février 1950
1214,Jean-Claude Mignon,2 février 1950
1215,Daniel Gard,28 janvier 1950
1216,Philippe Feneuil,26 janvier 1950
1217,Jean-Marc Ayrault,25 janvier 1950
1218,Bruno Gollnisch,25 janvier 1950
1219,Olivier Marlière,24 janvier 1950
1220,Josiane Boyce Née Pontieux,24 janvier 1950
1221,Jean-Luc Perat,23 janvier 1950
1222,Joël Beaugendre,19 janvier 1950
1223,Serge Blisko,6 janvier 1950
1224,Jean-Yves Autexier,5 janvier 1950
1225,Jeanny Lorgeoux,2 janvier 1950
1226,Jean-Yves Gateaud,17 décembre 1949
1227,Kamilo Gata,12 décembre 1949
1228,Jean-Paul Chanteguet,9 décembre 1949
1229,Pierre Lequiller,4 décembre 1949
1230,Jean-Pierre Blazy,24 novembre 1949
1231,Jacques Le Nay,19 novembre 1949
1232,Frédéric Reiss,12 novembre 1949
1233,Yvon Robert,10 novembre 1949
1234,Joël Regnault,5 novembre 1949
1235,Claire O'Petit,15 octobre 1949
1236,Paulette Guinchard-Kuntzler,3 octobre 1949
1237,Roland Beix,22 septembre 1949
1238,Bernard Lesterlin,18 septembre 1949
1239,Philippe Decaudin,6 septembre 1949
1240,Jean-Marie Tétart,1er septembre 1949
1241,Pierre Cardo,28 août 1949
1242,Daniel Arata,18 août 1949
1243,Michel Delpon,13 août 1949
